source,benchmark,category,model_type,device,kernel_count,peak_performance_tflops,median_performance_tflops,median_arithmetic_intensity,median_xtime_ns,coverage_rank
"binomial-cuda","binomial","Finance","cuda","3080",1,6.294022,6.294022,172251.227072,1034571.0,2.0
"binomial-cuda","binomial","Finance","cuda","A10",1,4.095446,4.095446,138362.322617,1589963.0,2.0
"binomial-cuda","binomial","Finance","cuda","A100",1,5.760048,5.760048,174461.884472,1130752.0,3.0
"binomial-cuda","binomial","Finance","cuda","H100",1,12.21587,12.21587,52310.091879,533131.0,3.0
"binomial-omp","binomial","Finance","omp","3080",1,7.519171,7.519171,132518.070556,868512.0,1.0
"binomial-omp","binomial","Finance","omp","A10",1,4.852718,4.852718,124639.595858,1345739.0,1.0
"binomial-omp","binomial","Finance","omp","A100",1,5.788156,5.788156,167133.203413,1128523.0,4.0
"binomial-omp","binomial","Finance","omp","H100",1,16.924137,16.924137,163899.251161,385931.0,1.0
"bitonic-sort-cuda","bitonic-sort","Sorting","cuda","3080",1,0.0,0.0,0.0,387819.0,36.0
"bitonic-sort-cuda","bitonic-sort","Sorting","cuda","A10",1,0.0,0.0,0.0,534955.0,36.0
"bitonic-sort-cuda","bitonic-sort","Sorting","cuda","A100",1,0.0,0.0,0.0,241376.0,49.0
"bitonic-sort-cuda","bitonic-sort","Sorting","cuda","H100",1,0.463626,0.463626,0.280202,144747.0,28.0
"bitonic-sort-omp","bitonic-sort","Sorting","omp","3080",1,0.0,0.0,0.0,427104.0,27.0
"bitonic-sort-omp","bitonic-sort","Sorting","omp","A10",1,0.0,0.0,0.0,614923.0,27.0
"bitonic-sort-omp","bitonic-sort","Sorting","omp","A100",1,0.0,0.0,0.0,323808.0,38.0
"bitonic-sort-omp","bitonic-sort","Sorting","omp","H100",1,0.0,0.0,0.0,206773.0,37.0
"bitpacking-cuda","bitpacking","Data compression and reduction","cuda","3080",1,0.0,0.0,0.0,3509.0,36.0
"bitpacking-cuda","bitpacking","Data compression and reduction","cuda","A10",1,0.0,0.0,0.0,5760.0,36.0
"bitpacking-cuda","bitpacking","Data compression and reduction","cuda","A100",1,0.000734,0.000418,0.330729,4864.0,47.0
"bitpacking-cuda","bitpacking","Data compression and reduction","cuda","H100",1,0.000707,0.000542,0.274533,3776.0,43.0
"bitpermute-cuda","bitpermute","Cryptography","cuda","3080",2,0.0,0.0,0.0,4245.5,36.0
"bitpermute-cuda","bitpermute","Cryptography","cuda","A10",2,0.0,0.0,0.0,6832.0,36.0
"bitpermute-cuda","bitpermute","Cryptography","cuda","A100",2,4.4e-05,2.2e-05,0.004661,5760.0,48.0
"bitpermute-cuda","bitpermute","Cryptography","cuda","H100",2,0.0,0.0,0.0,4346.5,45.0
"black-scholes-cuda","black-scholes","Finance","cuda","3080",1,3.114214,3.114214,4.496283,2898219.0,6.0
"black-scholes-cuda","black-scholes","Finance","cuda","A10",1,2.065111,2.065111,4.04285,4370560.0,5.0
"black-scholes-cuda","black-scholes","Finance","cuda","A100",1,5.194044,5.194044,5.180043,1993707.0,4.0
"black-scholes-cuda","black-scholes","Finance","cuda","H100",1,10.505127,10.505127,5.081592,966709.0,4.0
"black-scholes-omp","black-scholes","Finance","omp","3080",1,2.860437,2.860437,4.335892,3054240.0,6.0
"black-scholes-omp","black-scholes","Finance","omp","A10",1,2.101621,2.101621,3.887775,4157024.0,5.0
"black-scholes-omp","black-scholes","Finance","omp","A100",1,4.436463,4.436463,4.879202,2199520.0,5.0
"black-scholes-omp","black-scholes","Finance","omp","H100",1,8.173537,8.173537,4.882026,1193867.0,5.0
"blockAccess-cuda","blockAccess","Language and kernel features","cuda","3080",2,0.0,0.0,0.0,477978.5,36.0
"blockAccess-cuda","blockAccess","Language and kernel features","cuda","A10",2,0.0,0.0,0.0,671264.0,36.0
"blockAccess-cuda","blockAccess","Language and kernel features","cuda","A100",2,0.278582,0.139291,0.101218,241408.0,32.0
"blockAccess-cuda","blockAccess","Language and kernel features","cuda","H100",2,0.0,0.0,0.0,111269.5,45.0
"blockexchange-cuda","blockexchange","Language and kernel features","cuda","3080",1,0.0,0.0,0.0,942027.0,36.0
"blockexchange-cuda","blockexchange","Language and kernel features","cuda","A10",1,0.0,0.0,0.0,1362379.0,36.0
"blockexchange-cuda","blockexchange","Language and kernel features","cuda","A100",1,0.0,0.0,0.0,573941.0,49.0
"blockexchange-cuda","blockexchange","Language and kernel features","cuda","H100",1,0.0,0.0,0.0,343285.0,45.0
"bn-omp","bn","Machine learning","omp","3080",4,0.0,0.0,0.0,23008.0,27.0
"bn-omp","bn","Machine learning","omp","A10",4,0.0,0.0,0.0,37429.5,27.0
"bn-omp","bn","Machine learning","omp","A100",4,0.615598,0.000364,0.257165,23736.0,18.0
"bn-omp","bn","Machine learning","omp","H100",4,0.001871,0.000222,0.001485,16029.0,33.0
"bonds-cuda","bonds","Finance","cuda","3080",1,0.29467,0.29467,0.51479,62557131.0,21.0
"bonds-cuda","bonds","Finance","cuda","A10",1,0.188377,0.188377,0.356424,97857291.0,20.0
"bonds-cuda","bonds","Finance","cuda","A100",1,0.619079,0.619079,3.296175,36985024.0,26.0
"bonds-cuda","bonds","Finance","cuda","H100",1,1.360432,1.360432,6.552192,17062549.0,20.0
"boxfilter-cuda","boxfilter","Computer vision and image processing","cuda","3080",2,1.49126,0.760216,6.675897,247269.0,12.0
"boxfilter-cuda","boxfilter","Computer vision and image processing","cuda","A10",2,0.969159,0.493993,5.510525,382768.0,13.0
"boxfilter-cuda","boxfilter","Computer vision and image processing","cuda","A100",2,1.263165,0.641019,13.48726,374373.5,19.0
"boxfilter-cuda","boxfilter","Computer vision and image processing","cuda","H100",2,3.242767,1.632897,12.98539,288901.0,17.0
"boxfilter-omp","boxfilter","Computer vision and image processing","omp","3080",1,0.516265,0.516265,11.768218,178736.0,12.0
"boxfilter-omp","boxfilter","Computer vision and image processing","omp","A10",1,0.339053,0.339053,10.36954,272155.0,12.0
"boxfilter-omp","boxfilter","Computer vision and image processing","omp","A100",1,1.095581,1.095581,24.304516,93339.0,15.0
"boxfilter-omp","boxfilter","Computer vision and image processing","omp","H100",1,1.772279,1.772279,24.331934,57797.0,15.0
"bsearch-cuda","bsearch","Search","cuda","3080",4,0.0,0.0,0.0,7920.0,36.0
"bsearch-cuda","bsearch","Search","cuda","A10",4,0.0,0.0,0.0,12170.5,36.0
"bsearch-cuda","bsearch","Search","cuda","A100",4,0.0,0.0,0.0,11797.5,49.0
"bsearch-cuda","bsearch","Search","cuda","H100",4,0.0,0.0,0.0,7920.0,45.0
"bsearch-omp","bsearch","Search","omp","3080",3,0.0,0.0,0.0,8544.0,27.0
"bsearch-omp","bsearch","Search","omp","A10",3,0.0,0.0,0.0,13120.0,27.0
"bsearch-omp","bsearch","Search","omp","A100",3,0.021806,0.020774,1.288861,12619.0,35.0
"bsearch-omp","bsearch","Search","omp","H100",3,0.015857,0.01543,0.646115,8597.0,30.0
"bspline-vgh-cuda","bspline-vgh","Simulation","cuda","3080",1,0.122995,0.122995,2.919163,12491.0,29.0
"bspline-vgh-cuda","bspline-vgh","Simulation","cuda","A10",1,0.076002,0.076002,2.418912,20213.0,29.0
"bspline-vgh-cuda","bspline-vgh","Simulation","cuda","A100",1,0.148489,0.148489,2.93475,10400.0,38.0
"bspline-vgh-cuda","bspline-vgh","Simulation","cuda","H100",1,0.204867,0.204867,2.920273,7499.0,34.0
"bspline-vgh-omp","bspline-vgh","Simulation","omp","3080",1,0.184406,0.184406,2.887005,8331.0,19.0
"bspline-vgh-omp","bspline-vgh","Simulation","omp","A10",1,0.116998,0.116998,2.494933,13131.0,19.0
"bspline-vgh-omp","bspline-vgh","Simulation","omp","A100",1,0.148052,0.148052,2.93905,10485.0,32.0
"bspline-vgh-omp","bspline-vgh","Simulation","omp","H100",1,0.191478,0.191478,2.939753,8107.0,26.0
"btree-cuda","btree","algorithms","cuda","3080",1,0.0,0.0,0.0,2496.0,36.0
"btree-cuda","btree","algorithms","cuda","A10",1,0.0,0.0,0.0,4053.0,36.0
"btree-cuda","btree","algorithms","cuda","A100",1,0.0,0.0,0.0,3339.0,49.0
"btree-cuda","btree","algorithms","cuda","H100",1,0.0,0.0,0.0,2752.0,45.0
"burger-cuda","burger","Simulation","cuda","3080",4,0.30334,0.0,0.0,1570346.5,20.0
"burger-cuda","burger","Simulation","cuda","A10",4,0.197389,0.0,0.0,2202320.0,19.0
"burger-cuda","burger","Simulation","cuda","A100",4,3.327708,0.098306,2.115542,764805.0,9.0
"burger-cuda","burger","Simulation","cuda","H100",4,6.126643,0.010602,1.828188,354138.5,9.0
"burger-omp","burger","Simulation","omp","3080",4,0.25102,0.0,0.0,1591053.5,18.0
"burger-omp","burger","Simulation","omp","A10",4,0.163825,0.0,0.0,2212384.0,18.0
"burger-omp","burger","Simulation","omp","A100",4,1.269949,0.088582,0.782202,804487.5,14.0
"burger-omp","burger","Simulation","omp","H100",4,1.852436,0.009733,0.810674,413990.5,14.0
"bwt-cuda","bwt","Data compression and reduction","cuda","3080",3,0.0,0.0,0.0,306005.0,36.0
"bwt-cuda","bwt","Data compression and reduction","cuda","A10",3,0.0,0.0,0.0,458645.0,36.0
"bwt-cuda","bwt","Data compression and reduction","cuda","A100",3,0.923718,0.087091,0.173132,150933.0,21.0
"bwt-cuda","bwt","Data compression and reduction","cuda","H100",3,0.155949,0.0,0.0,85440.0,36.0
"bwt-omp","bwt","Data compression and reduction","omp","3080",2,0.0,0.0,0.0,187306.5,27.0
"bwt-omp","bwt","Data compression and reduction","omp","A10",2,0.0,0.0,0.0,277216.0,27.0
"bwt-omp","bwt","Data compression and reduction","omp","A100",2,0.315003,0.157502,0.319126,139904.0,23.0
"bwt-omp","bwt","Data compression and reduction","omp","H100",2,0.1507,0.07535,0.097704,87621.5,28.0
"car-cuda","car","Computer vision and image processing","cuda","3080",1,1.320681,1.320681,1.875671,22240896.0,14.0
"car-cuda","car","Computer vision and image processing","cuda","A10",1,0.952445,0.952445,1.663806,30839819.0,14.0
"car-cuda","car","Computer vision and image processing","cuda","A100",1,2.411681,2.411681,2.31411,14136117.0,12.0
"car-cuda","car","Computer vision and image processing","cuda","H100",1,5.059816,5.059816,2.888574,6178219.0,11.0
"car-omp","car","Computer vision and image processing","omp","3080",1,1.267415,1.267415,1.894044,23547925.0,11.0
"car-omp","car","Computer vision and image processing","omp","A10",1,0.90775,0.90775,1.690234,32878229.0,11.0
"car-omp","car","Computer vision and image processing","omp","A100",1,1.991675,1.991675,2.410745,18064779.0,11.0
"car-omp","car","Computer vision and image processing","omp","H100",1,3.068618,3.068618,2.137589,10340981.0,10.0
"cbsfil-cuda","cbsfil","Computer vision and image processing","cuda","3080",2,0.06339,0.049562,0.309861,10946629.0,32.0
"cbsfil-cuda","cbsfil","Computer vision and image processing","cuda","A10",2,0.042961,0.035612,0.205944,14673258.5,32.0
"cbsfil-cuda","cbsfil","Computer vision and image processing","cuda","A100",2,0.056626,0.049754,0.321733,10254405.5,39.0
"cbsfil-cuda","cbsfil","Computer vision and image processing","cuda","H100",2,0.174388,0.119652,0.325027,5288656.0,35.0
"cbsfil-omp","cbsfil","Computer vision and image processing","omp","3080",1,0.030801,0.030801,0.30209,16252341.0,26.0
"cbsfil-omp","cbsfil","Computer vision and image processing","omp","A10",1,0.025596,0.025596,0.188939,19554571.0,26.0
"cbsfil-omp","cbsfil","Computer vision and image processing","omp","A100",1,0.044103,0.044103,0.32114,11352123.0,34.0
"cbsfil-omp","cbsfil","Computer vision and image processing","omp","H100",1,0.050372,0.050372,0.324045,9936517.0,29.0
"ccsd-trpdrv-cuda","ccsd-trpdrv","Simulation","cuda","3080",1,0.127374,0.127374,2.027794,44832.0,27.0
"ccsd-trpdrv-cuda","ccsd-trpdrv","Simulation","cuda","A10",1,0.077983,0.077983,1.628072,73227.0,28.0
"ccsd-trpdrv-cuda","ccsd-trpdrv","Simulation","cuda","A100",1,0.483119,0.483119,2.211408,11819.0,27.0
"ccsd-trpdrv-cuda","ccsd-trpdrv","Simulation","cuda","H100",1,0.717609,0.717609,2.211017,7957.0,23.0
"ccsd-trpdrv-omp","ccsd-trpdrv","Simulation","omp","3080",1,0.094484,0.094484,2.050759,62080.0,21.0
"ccsd-trpdrv-omp","ccsd-trpdrv","Simulation","omp","A10",1,0.05757,0.05757,1.539712,101888.0,21.0
"ccsd-trpdrv-omp","ccsd-trpdrv","Simulation","omp","A100",1,0.163482,0.163482,2.38447,37835.0,31.0
"ccsd-trpdrv-omp","ccsd-trpdrv","Simulation","omp","H100",1,0.225286,0.225286,2.262357,26037.0,25.0
"ced-cuda","ced","Computer vision and image processing","cuda","3080",4,1.21894,0.288674,5.666143,7072.0,15.0
"ced-cuda","ced","Computer vision and image processing","cuda","A10",4,0.800497,0.203882,6.963046,9936.0,15.0
"ced-cuda","ced","Computer vision and image processing","cuda","A100",4,1.368062,0.368377,11.639433,7226.5,18.0
"ced-cuda","ced","Computer vision and image processing","cuda","H100",4,2.028515,0.416298,8.723712,4757.0,19.0
"cfd-cuda","cfd","algorithms","cuda","3080",1,2.349191,2.349191,6.318502,27531.0,8.0
"cfd-cuda","cfd","algorithms","cuda","A10",1,1.529588,1.529588,5.380889,42283.0,8.0
"cfd-cuda","cfd","algorithms","cuda","A100",1,1.873372,1.873372,8.040291,35147.0,15.0
"cfd-cuda","cfd","algorithms","cuda","H100",1,4.54787,4.54787,7.90431,14229.0,12.0
